"sku","attribute_set","type","categories","cod_available","cost","description","media_gallery","has_options","image","image_label","label","meta_description","meta_keyword","meta_title","name","news_from_date","news_to_date","price","region","required_options","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","url_key","url_path","visibility","weight","qty","is_in_stock","is_qty_decimal","use_config_min_sale_qty","min_sale_qty","use_config_max_sale_qty","max_sale_qty","re_skus","xre_skus","cs_skus","us_skus","simples_skus","configurable_attributes","super_attribute_pricing","ga_asso_occassions","ga_commission","ga_commission_rate","ga_discounted_price","ga_discount_percentage","ga_estimate_shipping","ga_fragile","ga_int_ship_allowed","ga_last_revision_date","ga_next_revision_date","ga_returnable","ga_shipping_weight","ga_vender","ga_vender_internal","ga_vendor_lead_time","ga_vendor_max_order_qty","ga_vendor_price","ga_volumetric_weight","color","video","apmu_size","apmu_type","apwu_decorative_accents","apwu_fabric","apwu_length","apwu_pattern"
"AP_M_UP_SH_ST_001C.1","Apparels_M_Upperbody","simple","Apparels;;Apparels/Men;;Apparels/Men/Upperbody;; Apparels/Men/Upperbody/Shirts;; Apparels/Men/Upperbody/Shirts/Stiched","Yes",800,"A blue formal Shirts with full sleeves. It is made from hoseary cotton.",,,"shirt1.jpg",,,,,,"Formal Self Embroidered Shirts 40 size",,,6000,"Rajasthan",,"A blue cotton formal Shirts.","shirt1.jpg",,,,,1,5,"shirt1.jpg",,,,1,100,100,1,,1,,,,,,,,,,,,"Yes",10,720,10,"20 Days","No","Yes","6/20/2014","1/20/2015","Yes",100,,"Snazzy ptv ltd",11,100,800,100,"Blue",,40,"A Line","Embrodered","Cotton","Standard","Self Design"
"AP_M_UP_SH_ST_001C.2","Apparels_M_Upperbody","simple","Apparels;;Apparels/Men;;Apparels/Men/Upperbody;; Apparels/Men/Upperbody/Shirts;; Apparels/Men/Upperbody/Shirts/Stiched","Yes",800,"A red formal Shirts with full sleeves. It is made from hoseary cotton.",,,"shirt1.jpg",,,,,,"Formal Self Embroidered Shirts 42 size",,,6000,"Rajasthan",,"A red cotton formal Shirts.","shirt1.jpg",,,,,1,5,"shirt1.jpg",,,,1,100,100,1,,1,,,,,,,,,,,,"Yes",10,720,10,"20 Days","No","Yes","6/20/2014","1/20/2015","Yes",100,,"Snazzy ptv ltd",11,100,800,100,"Blue",,42,"A Line","Embellished","Cotton","Standard","Self Design"
"AP_M_UP_SH_ST_001C","Apparels_M_Upperbody","configurable","Apparels;;Apparels/Men;;Apparels/Men/Upperbody;; Apparels/Men/Upperbody/Shirts;; Apparels/Men/Upperbody/Shirts/Stiched","Yes",800,"A formal Shirts with full sleeves. It is made from hoseary cotton.",,1,"shirt1.jpg",,,,,,"Formal Self Embroidered Shirts",,,6000,"Rajasthan",1,"A cotton formal Shirts.","shirt1.jpg",,,,,1,5,"shirt1.jpg",,,,4,,,1,,1,,,,,,,,"AP_M_UP_SH_ST_001C.1,AP_M_UP_SH_ST_001C.2","color,apmu_size",,,"Yes",10,720,10,"20 Days","No","Yes","6/20/2014","1/20/2015","Yes",100,,"Snazzy ptv ltd",11,100,800,100,,,,"A Line","Embellished","Cotton","Standard","Self Design"
"AP_M_UP_SH_M_001C.1","Apparels_M_Upperbody","simple","Apparels;; Apparels/Men;; Apparels/Men/Upperbody/Shirts;; Apparels/Men/Upperbody/Shirts/Material","Yes",,"Blue cotton material for mens' Shirts. It is made up of superior quality of cotton.",,,"shirt1.jpg",,,,,,"Shirts Material",,,175,"Rajasthan",,"A cotton formal Shirts.","shirt1.jpg",,,,,1,5,"shirt1.jpg",,,,1,100,100,1,1,0,2.5,0,7,,,,,,,,,"Yes",10,80,,1,"No","Yes",,,"Yes",100,,"Snazzy ptv ltd",10,100,80,100,"Blue",,,,"plain","cotton","Standard","Checkered"
"AP_M_UP_SH_M_001C.2","Apparels_M_Upperbody","simple","Apparels;; Apparels/Men;; Apparels/Men/Upperbody/Shirts;; Apparels/Men/Upperbody/Shirts/Material","Yes",,"Red cotton material for mens' Shirts. It is made up of superior quality of cotton.",,,"shirt1.jpg",,,,,,"Shirts Material",,,175,"Rajasthan",,"A cotton formal Shirts.","shirt1.jpg",,,,,1,5,"shirt1.jpg",,,,1,100,100,1,1,0,2.5,0,7,,,,,,,,,"Yes",10,80,,1,"No","Yes",,,"Yes",100,,"Snazzy ptv ltd",10,100,80,100,"Red",,,,"plain","cotton","Standard","Checkered"
"AP_M_UP_KU_ST_001S","Apparels_M_Upperbody","simple","Apparels;; Apparels/Men;; Apparels/Men/Upperbody;; Apparels/Men/Upperbody/Kurta;; Apparels/Men/Upperbody/Kurta/Stiched","Yes",,"A stiched kurta for men. It in mustard yellow in colour and has full sleeves. It has a straight fit.",,,"shirt1.jpg",,,,,,"A mustard yellow cotton kurta for men",,,600,"Rajasthan",,"A mustard yellow cotton kurta for men","shirt1.jpg",,,,,1,5,"shirt1.jpg",,,,4,100,100,1,,1,,,,,,,,,,,,"Yes",10,,,1,"No","Yes",,,"Yes",100,,"snazzy",10,100,600,100,"Mustard Yellow",,38,"Straight",,"cotton","knee length","Striped"
"AP_M_UP_KU_ST_002S","Apparels_M_Upperbody","simple","Apparels;; Apparels/Men;; Apparels/Men/Upperbody;; Apparels/Men/Upperbody/Kurta;; Apparels/Men/Upperbody/Kurta/Stiched","Yes",,"A stiched kurta for men. It in mustard yellow in colour and has full sleeves. It has a straight fit.",,,"shirt1.jpg",,,,,,"A silk beige kurta for men",,,600,"Rajasthan",,"Beige Kurta","shirt1.jpg",,,,,1,5,"shirt1.jpg",,,,4,100,100,1,,1,,,,,,,,,,,,"Yes",10,,,1,"No","Yes",,,"Yes",100,,"snazzy",10,100,600,100,"Beige",,40,"Straight",,"Silk","knee length","Striped"
"AP_M_UP_KU_M_001S","Apparels_M_Upperbody","simple","Apparels;; Apparels/Men;; Apparels/Men/Upperbody;; Apparels/Men/Upperbody/Kurta;; Apparels/Men/Upperbody/Kurta/Material","Yes",,"Cotton material for men's kurta. It is black in colour and made from superior quality cotton.",,,"shirt1.jpg",,,,,,"Kurta Material",,,500,"Rajasthan",,"Silver Kurta","shirt1.jpg",,,,,1,5,"shirt1.jpg",,,,4,100,100,1,,1,,,,,,,,,,,,"Yes",10,,,1,"No","Yes",,,"Yes",100,,"snazzy",10,100,200,100,"Beige",,,,"printed","Raw Silk",,"Geometric"
"AP_M_UP_KU_M_S002","Apparels_M_Upperbody","simple","Apparels;; Apparels/Men;; Apparels/Men/Upperbody;; Apparels/Men/Upperbody/Kurta;; Apparels/Men/Upperbody/Kurta/Material","Yes",,"Cotton material for men's kurta. It is black in colour and made from superior quality cotton.",,,"shirt1.jpg",,,,,,"Kurta Material",,,500,"Rajasthan",,"White Kurta","shirt1.jpg",,,,,1,5,"shirt1.jpg",,,,4,100,100,1,,1,,,,,,,,,,,,"Yes",10,,,1,"No","Yes",,,"Yes",100,,"snazzy",10,100,200,100,"Silver",,,,"printed","Raw Silk",,"Abstract"
"AP_M_UP_KU_M_S003","Apparels_M_Upperbody","simple","Apparels;; Apparels/Men;; Apparels/Men/Upperbody;; Apparels/Men/Upperbody/Kurta;; Apparels/Men/Upperbody/Kurta/Material","Yes",,"Cotton material for men's kurta. It is black in colour and made from superior quality cotton.",,,"shirt1.jpg",,,,,,"Kurta Material",,,500,"Rajasthan",,"Men's white kurta material","shirt1.jpg",,,,,1,5,"shirt1.jpg",,,,4,100,100,1,,1,,,,,,,,,,,,"Yes",10,,,1,"No","Yes",,,"Yes",100,,"snazzy",10,100,200,100,"White",,,,"printed","Raw Silk",,"Striped"
