"sku","attribute_set","type","categories","cod_available","cost","description","media_gallery","has_options","image","image_label","label","meta_description","meta_keyword","meta_title","name","price","region","required_options","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","visibility","weight","qty","is_in_stock","is_qty_decimal","use_config_min_sale_qty","min_sale_qty","use_config_max_sale_qty","max_sale_qty","re_skus","xre_skus","cs_skus","us_skus","simples_skus","configurable_attributes","ga_asso_occassions","ga_commission","ga_commission_rate","ga_discounted_price","ga_discount_percentage","ga_estimate_shipping","ga_fragile","ga_int_ship_allowed","ga_last_revision_date","ga_next_revision_date","ga_returnable","ga_shipping_weight","ga_vender","ga_vender_internal","ga_vendor_lead_time","ga_vendor_max_order_qty","ga_vendor_price","ga_volumetric_weight","color","video","hb_material","hb_pattern"
"001CB1B1B1B11","Bedding_AS","simple","Home Decor;; Home Decor/Bedding;; Home Decor/Bedding/Bedsheets","Yes",800,"A magenta coloured printed bedsheet made from cotton. It has a print of hollow circles on it. It comes with 4 pillow covers.",,,"bedsheet1.jpeg",,,,,,"Printed Bedsheet",800,"Maharashtra",,"A blue cotton printed bedsheet with 4 pillow covers","bedsheet2.jpeg",,,,,1,7,,,1,400,100,1,,,,,,,,,,,,,"Yes",10,800,,1,"No","Yes",,,"Yes",400,"Maharashtra","Swayam",10,100,800,400,"magenta",,"cotton","printed"
"001CB1B1B1B12","Bedding_AS","simple","Home Decor;; Home Decor/Bedding;; Home Decor/Bedding/Bedsheets","Yes",800,"A blue printed bedsheet made from cotton. It has a print of hollow circles on it. It comes with 4 pillow covers.",,,"bedsheet3.jpeg",,,,,,"Printed Bedsheet",800,"Maharashtra",,"A magenta cotton printed bedsheet with 4 pillow covers","bedsheet4.jpeg",,,,,1,7,,,1,400,100,1,,,,,,,,,,,,,"Yes",10,800,,1,"No","Yes",,,"Yes",400,"Maharashtra","Swayam",10,100,800,400,"blue",,"cotton","printed"
"001CB1B1B1B1","Bedding_AS","configurable","Home Decor;; Home Decor/Bedding;; Home Decor/Bedding/Bedsheets","Yes",800,"A printed bedsheet made from cotton. It has a print of hollow circles on it. It comes with 4 pillow covers.",,1,"no selection",,,,,,"Printed Bedsheet",800,"Maharashtra",1,"A cotton printed bedsheet with 4 pillow covers","no selection",,,,,1,7,,,4,400,100,1,,,,,,,,,,"001CB1B1B1B11,
001CB1B1B1B12","color",,"Yes",10,800,,1,"No","Yes",,,"Yes",400,"Maharashtra","Swayam",10,100,800,400,,,"cotton","printed"
"002CB11","Bedding_AS","simple","Home Decor;; Home Decor/Bedding;; Home Decor/Bedding/Bed runner","Yes",250,"Elegant magenta bed runner which adds beauty to your bed. It is made from synthetic material.",,,"bedrunner1.jpeg",,,,,,"Bed Runner",250,"Maharashtra",,"An elegant magenta synthetic plain bedrunnner highlighting its bright colour","bedrunner2.jpeg",,,,,1,7,,,1,200,100,1,,,,,,,,,,,,,"Yes",10,250,,1,"No","Yes",,,"Yes",200,"Maharashtra","Swayam",10,100,250,200,"magenta",,"synthetic","plain"
"002CB12","Bedding_AS","simple","Home Decor;; Home Decor/Bedding;; Home Decor/Bedding/Bed runner","Yes",250,"Elegant white bed runner which adds beauty to your bed. It is made from synthetic material.",,,"bedrunner3.jpeg",,,,,,"Bed Runner",250,"Maharashtra",,"An elegant white synthetic plain bedrunnner highlighting its bright colour","bedrunner4.jpeg",,,,,1,7,,,1,200,100,1,,,,,,,,,,,,,"Yes",10,250,,1,"No","Yes",,,"Yes",200,"Maharashtra","Swayam",10,100,250,200,"white",,"synthetic","plain"
"002CB1","Bedding_AS","configurable","Home Decor;; Home Decor/Bedding;; Home Decor/Bedding/Bed runner","Yes",250,"Elegant bed runner which adds beauty to your bed. It is made from synthetic material.",,1,"no selection",,,,,,"Bed Runner",250,"Maharashtra",1,"An elegant synthetic plain bedrunnner highlighting its bright colour","no sleection",,,,,1,7,,,4,200,100,1,,,,,,,,,,"002CB11,
002CB12","color",,"Yes",10,250,,1,"No","Yes",,,"Yes",200,"Maharashtra","Swayam",10,100,250,200,,,"synthetic","plain"
"003CB11","Bedding_AS","simple","Home Decor;; Home Decor/Bedding;; Home Decor/Bedding/Bedcovers","Yes",450,"Made of hoseary cotton, this yellow bed cover is soft and comfortable. It is big enough to suit double beds.",,,"bedcover1.jpeg",,,,,,"Bed Cover",450,"Maharashtra",,"Yellow hoseary cotton printed bed cover","bedcover2.jpeg",,,,,1,7,,,1,300,100,1,,,,,,,,,,,,,"Yes",10,450,,1,"No","Yes",,,"Yes",300,"Manahrashtra","Swayam",10,100,450,300,"yellow",,"hoseary cotton","printed"
"003CB12","Bedding_AS","simple","Home Decor;; Home Decor/Bedding;; Home Decor/Bedding/Bedcovers","Yes",450,"Made of hoseary cotton, this green bed cover is soft and comfortable. It is big enough to suit double beds.",,,"bedcover3.jpeg",,,,,,"Bed Cover",450,"Maharashtra",,"Green hoseary cotton printed bed cover","bedcover4.jpeg",,,,,1,7,,,1,300,100,1,,,,,,,,,,,,,"Yes",10,450,,1,"No","Yes",,,"Yes",300,"Manahrashtra","Swayam",10,100,450,300,"green",,"hoseary cotton","printed"
"003CB1","Bedding_AS","configurable","Home Decor;; Home Decor/Bedding;; Home Decor/Bedding/Bedcovers","Yes",450,"Made of hoseary cotton, this bed cover is soft and comfortable. It is big enough to suit double beds.",,1,"no selection",,,,,,"Bed Cover",450,"Maharashtra",1,"Hoseary cotton printed bed cover","no selection",,,,,1,7,,,4,300,100,1,,,,,,,,,,"003CB11,
003CB12","color",,"Yes",10,450,,1,"No","Yes",,,"Yes",300,"Manahrashtra","Swayam",10,100,450,300,,,"hoseary cotton","printed"
"004CB11","Bedding_AS","simple","Home Decor;; Home Decor/Bedding;; Home Decor/Bedding/Duvet","Yes",450,"Comfortable duvet suitable for double beds in white colour. It is made from cotton.",,,"duvet1.jpeg",,,,,,"Duvet",450,"Maharashtra",,"Plain white cotton duvet suitable for double beds","duvet2.jpeg",,,,,1,7,,,1,300,100,1,,,,,,,,,,"004CB12",,,"Yes",10,450,,1,"No","Yes",,,"Yes",300,"Manahrashtra","Swayam",10,100,450,300,"white",,"cotton","plain"
"004CB12","Bedding_AS","simple","Home Decor;; Home Decor/Bedding;; Home Decor/Bedding/Duvet","Yes",450,"Comfortable duvet suitable for double beds in orange colour. It is made from cotton.",,,"duvet3.jpeg",,,,,,"Duvet",450,"Maharashtra",,"Plain orange cotton duvet suitable for double beds","duvet4.jpeg",,,,,1,7,,,1,300,100,1,,,,,,,,,,,,,"Yes",10,450,,1,"No","Yes",,,"Yes",300,"Manahrashtra","Swayam",10,100,450,300,"orange",,"cotton","plain"
