"sku","attribute_set","type","categories","cod_available","cost","description","media_gallery","has_options","image","image_label","label","meta_description","meta_keyword","meta_title","name","news_from_date","news_to_date","price","region","required_options","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","url_key","url_path","visibility","weight","qty","is_in_stock","is_qty_decimal","use_config_min_sale_qty","min_sale_qty","use_config_max_sale_qty","max_sale_qty","re_skus","xre_skus","cs_skus","us_skus","simples_skus","configurable_attributes","super_attribute_pricing","ga_asso_occassions","ga_commission","ga_commission_rate","ga_discounted_price","ga_discount_percentage","ga_estimate_shipping","ga_fragile","ga_int_ship_allowed","ga_last_revision_date","ga_next_revision_date","ga_returnable","ga_shipping_weight","ga_vender","ga_vender_internal","ga_vendor_lead_time","ga_vendor_max_order_qty","ga_vendor_price","ga_volumetric_weight","color","video","hdw_material","hdw_pattern"
"010C1","Decor_Wall_AS","simple","Home;; Home/Decor;; Home/Decor/Door & Wall;; Home/Decor/Door & Wall/Clocks","yes",1800,"A beautiful wall clock in self designed in orange traditional Indian motifs and colours. It reflects the country's ithinicity.",,,"wallclock1.jpeg",,,,,,"Traditional Wall Clock",,,1800,"Rajasthan",,"A self designed wall clock in orange Indian motifs","wallclock2.jpeg",,,,,1,,,,,,0,500,100,1,,,,,,,,,,,,,,"yes",10,1800,0,1,"yes","yes",,,"yes",500,"Mukesh Pvt Ltd","Mukesh",10,100,1800,500,"orange",,"plastic, glass","self design"
"010C2","Decor_Wall_AS","simple","Home;; Home/Decor;; Home/Decor/Door & Wall;; Home/Decor/Door & Wall/Clocks","yes",1800,"A beautiful wall clock self designed in red traditional Indian motifs and colours. It reflects the country's ithinicity.",,,"wallclock3.jpeg",,,,,,"Traditional Wall Clock",,,1800,"Rajasthan",,"A self designed wall clock in red Indian motifs","wallclok4.jpeg",,,,,1,,,,,,0,500,100,1,,,,,,,,,,,,,,"yes",10,1800,0,1,"yes","yes",,,"yes",500,"Mukesh Pvt Ltd","Mukesh",10,100,1800,500,"red",,"plastic, glass","self design"
"010C","Decor_Wall_AS","configurable","Home;; Home/Decor;; Home/Decor/Door & Wall;; Home/Decor/Door & Wall/Clocks","yes",1800,"A beautiful wall clock self designed in traditional Indian motifs and colours. It reflects the country's ithinicity.",,1,"no selection",,,,,,"Traditional Wall Clock",,,1800,"Rajasthan",,"A self designed wall clock in Indian motifs","no selection",,,,,1,,,,,,4,500,100,1,,,,,,,,,,"010C1,010C2","color",,,"yes",10,1800,0,1,"yes","yes",,,"yes",500,"Mukesh Pvt Ltd","Mukesh",10,100,1800,500,,,"plastic, glass","self design"
"011C1","Decor_Wall_AS","simple","Home;; Home/Decor;; Home/Decor/Door & Wall;; Home/Decor/Door & Wall/Hangings","yes",1000,"A light brown artictic hanging made by skilled craftsmen of Guajrat. It adds elegance to the walls.",,,"wallhanging1.jpeg",,,,,,"Traditional Wall Hanging",,,1000,"Gujarat",,"A light brown self designed artistic traditional wall hanging",,,,,,1,,,,,,0,400,100,1,,,,,,,,,,,,,,"yes",10,1000,0,1,"yes","yes",,,"yes",400,"Leena Pvt Ltd","Leena",10,100,1000,400,"light brown",,"plastic, paints","self design"
"011C2","Decor_Wall_AS","simple","Home;; Home/Decor;; Home/Decor/Door & Wall;; Home/Decor/Door & Wall/Hangings","yes",1000,"An orange artictic hanging made by skilled craftsmen of Guajrat. It adds elegance to the walls.",,,"wallhanging2.jpeg",,,,,,"Traditional Wall Hanging",,,1000,"Gujarat",,"An orange self designed artistic traditional wall hanging",,,,,,1,,,,,,0,400,100,1,,,,,,,,,,,,,,"yes",10,1000,0,1,"yes","yes",,,"yes",400,"Leena Pvt Ltd","Leena",10,100,1000,400,"orange",,"plastic, paints","self design"
"011C","Decor_Wall_AS","configurable","Home;; Home/Decor;; Home/Decor/Door & Wall;; Home/Decor/Door & Wall/Hangings","yes",1000,"An artictic hanging made by skilled craftsmen of Guajrat. It adds elegance to the walls.",,1,"no selection",,,,,,"Traditional Wall Hanging",,,1000,"Gujarat",,"A self designed artistic traditional wall hanging",,,,,,1,,,,,,4,400,100,1,,,,,,,,,,"011C1,011C2","color",,,"yes",10,1000,0,1,"yes","yes",,,"yes",400,"Leena Pvt Ltd","Leena",10,100,1000,400,,,"plastic, paints","self design"
"012C1","Decor_Wall_AS","simple","Home;; Home/Decor;; Home/Decor/Door & Wall;; Home/Decor/Door & Wall/Curtains","yes",120,"Brown floor length curtains made from cotton to add a dash of elegance and colour to the room. They are made up of thick material.",,,"curtain1.jpeg",,,,,,"Floor Length Curtains",,,120,"Delhi",,"Brown floor length curtains made up of thick cotton material","curtain2.jpeg",,,,,1,,,,,,0,800,100,1,,,,,,,,,,,,,,"yes",10,120,0,1,"no","yes",,,"yes",800,"Sazzy Pvt Ltd","Sazzy",10,100,"120/metre",800,"brown",,"cotton","plain"
"012C2","Decor_Wall_AS","simple","Home;; Home/Decor;; Home/Decor/Door & Wall;; Home/Decor/Door & Wall/Curtains","yes",120,"Magenta floor length curtains made from cotton to add a dash of elegance and colour to the room. They are made up of thick material.",,,"curtain3.jpeg",,,,,,"Floor Length Curtains",,,120,"Delhi",,"Magenta floor length curtains made up of thick cotton material","curtain4.jpeg",,,,,1,,,,,,0,800,100,1,,,,,,,,,,,,,,"yes",10,120,0,1,"no","yes",,,"yes",800,"Sazzy Pvt Ltd","Sazzy",10,100,"120/metre",800,"magenta",,"cotton","plain"
"012C","Decor_Wall_AS","configurable","Home;; Home/Decor;; Home/Decor/Door & Wall;; Home/Decor/Door & Wall/Curtains","yes",120,"Floor length curtains made from cotton to add a dash of elegance and colour to the room. They are made up of thick material.",,1,"no selection",,,,,,"Floor Length Curtains",,,120,"Delhi",,"Floor length curtains made up of thick cotton material","no selection",,,,,1,,,,,,4,800,100,1,,,,,,,,,,"012C1,012C2","color",,,"yes",10,120,0,1,"no","yes",,,"yes",800,"Sazzy Pvt Ltd","Sazzy",10,100,120,800,,,"cotton","plain"
"013C1","Decor_Wall_AS","simple","Home;; Home/Decor;; Home/Decor/Door & Wall;; Home/Decor/Door & Wall/Others;; Home/Decor/Door & Wall/Others/Toran","yes",800,"The traditional Indian door hanging called Toran. It has artistically made peepal tree leaves in green with Lord Ganesha's carving in the centre. It is made from metal.",,,"toran1.jpeg",,,,,,"Toran",,,800,"Gujarat",,"Self designed green toran made from metal","toran2.jpeg",,,,,1,,,,,,0,100,100,1,,,,,,,,,,,,,,"yes",10,800,0,1,"no","yes",,,"yes",100,"Leena Pvt Ltd","Leena",10,100,800,100,"green",,"metal","self design"
