"sku","attribute_set","type","categories","cod_available","cost","description","media_gallery","has_options","image","image_label","label","meta_description","meta_keyword","meta_title","name","news_from_date","news_to_date","price","region","required_options","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","url_key","url_path","visibility","weight","qty","is_in_stock","is_qty_decimal","use_config_min_sale_qty","min_sale_qty","use_config_max_sale_qty","max_sale_qty","re_skus","xre_skus","cs_skus","us_skus","simples_skus","configurable_attributes","super_attribute_pricing","ga_asso_occassions","ga_commission","ga_commission_rate","ga_discounted_price","ga_discount_percentage","ga_estimate_shipping","ga_fragile","ga_int_ship_allowed","ga_last_revision_date","ga_next_revision_date","ga_returnable","ga_shipping_weight","ga_vender","ga_vender_internal","ga_vendor_lead_time","ga_vendor_max_order_qty","ga_vendor_price","ga_volumetric_weight","color","video","hd_material","hd_pattern"
"017C1","Dining_AS","simple","Home;; Home/Dining;; Home/Dining/Cutlery","yes",250,"A blue cutlery set made up of steel. It is decently designed keeping in mind the user's comfort.",,,"cutlery1.jpeg",,,,,,"Cutlery Set",,,250,"Maharashtra",,"A set of blue steel cutlery - a combination of elegance and comfort ",,,,,,1,,,,,,0,200,100,1,,,,,,,,,,,,,,"yes",10,250,0,1,"no","yes",,,"yes",200,"Seema Pvt Ltd","Seema",10,100,250,200,,,"steel, plastic","plain"
"017C2","Dining_AS","simple","Home;; Home/Dining;; Home/Dining/Cutlery","yes",250,"A red cutlery set made up of steel. It is decently designed keeping in mind the user's comfort.",,,"cutlery2.jpeg",,,,,,"Cutlery Set",,,250,"Maharashtra",,"A set of red steel cutlery - a combination of elegance and comfort ",,,,,,1,,,,,,0,200,100,1,,,,,,,,,,,,,,"yes",10,250,0,1,"no","yes",,,"yes",200,"Seema Pvt Ltd","Seema",10,100,250,200,,,"steel, plastic","plain"
"017C","Dining_AS","configurable","Home;; Home/Dining;; Home/Dining/Cutlery","yes",250,"A cutlery set made up of steel. It is decently designed keeping in mind the user's comfort.",,1,"no selection",,,,,,"Cutlery Set",,,250,"Maharashtra",1,"A set of steel cutlery - a combination of elegance and comfort ",,,,,,1,,,,,,4,200,100,1,,,,,,,,,,"017C1,017C2","color",,,"yes",10,250,0,1,"no","yes",,,"yes",200,"Seema Pvt Ltd","Seema",10,100,250,200,,,"steel, plastic","plain"
"018C1","Dining_AS","simple","Home;; Home/Dining;; Home/Dining/Holders","yes",250,"A purple cutlery holder made from metal. It has a hollow circular pattern all over it. Its length is about that of a glass.",,,"cutleryholder1.jpeg",,,,,,"Cutlery Holder",,,250,"Maharashtra",,"A purple metal cutlery holder with hollow circular design all over it",,,,,,1,,,,,,0,200,100,1,,,,,,,,,,,,,,"yes",10,250,0,1,"no","yes",,,"yes",200,"Seema Pvt Ltd","Seema",10,100,250,200,,,"steel","self design"
"018C2","Dining_AS","simple","Home;; Home/Dining;; Home/Dining/Holders","yes",250,"A blue cutlery holder made from metal. It has a hollow circular pattern all over it. Its length is about that of a glass.",,,"cutleryholder2.jpeg",,,,,,"Cutlery Holder",,,250,"Maharashtra",,"A blue metal cutlery holder with hollow circular design all over it",,,,,,1,,,,,,0,200,100,1,,,,,,,,,,,,,,"yes",10,250,0,1,"no","yes",,,"yes",200,"Seema Pvt Ltd","Seema",10,100,250,200,,,"steel","self design"
"018C","Dining_AS","configurable","Home;; Home/Dining;; Home/Dining/Holders","yes",250,"A cutlery holder made from metal. It has a hollow circular pattern all over it. Its length is about that of a glass.",,1,"no selection",,,,,,"Cutlery Holder",,,250,"Maharashtra",1,"A metal cutlery holder with hollow circular design all over it",,,,,,1,,,,,,4,200,100,1,,,,,,,,,,"018C1,018C2","color",,,"yes",10,250,0,1,"no","yes",,,"yes",200,"Seema Pvt Ltd","Seema",10,100,250,200,,,"steel","self design"
"019C1","Dining_AS","simple","Home;; Home/Dining;; Home/Dining/Others;; Home/Dining/Others/Table runners","yes",600,"A maroon satin table runner which is rectangle in shape. It is spread across the table which adds colour and makes the table look more decorative.",,,"tablerunner1.jpeg",,,,,,"Table Runner",,,600,"Maharashtra",,"A maroon satin table runner highlighting the table with its plain bright colour",,,,,,1,,,,,,0,100,100,1,,,,,,,,,,,,,,"yes",10,600,0,1,"no","yes",,,"yes",100,"Seema Pvt Ltd","Seema",10,100,600,100,,,"satin","plain"
"019C2","Dining_AS","simple","Home;; Home/Dining;; Home/Dining/Others;; Home/Dining/Others/Table runners","yes",600,"A blue satin table runner which is rectangle in shape. It is spread across the table which adds colour and makes the table look more decorative.",,,"tablerunner3.jpeg",,,,,,"Table Runner",,,600,"Maharashtra",,"A blue satin table runner highlighting the table with its plain bright colour",,,,,,1,,,,,,0,100,100,1,,,,,,,,,,,,,,"yes",10,600,0,1,"no","yes",,,"yes",100,"Seema Pvt Ltd","Seema",10,100,600,100,,,"satin","plain"
"019C","Dining_AS","configurable","Home;; Home/Dining;; Home/Dining/Others;; Home/Dining/Others/Table runners","yes",600,"A satin table runner which is rectangle in shape. It is spread across the table which adds colour and makes the table look more decorative.",,1,"no selection",,,,,,"Table Runner",,,600,"Maharashtra",1,"A satin table runner highlighting the table with its plain bright colour",,,,,,1,,,,,,4,100,100,1,,,,,,,,,,"019C1,019C2","color",,,"yes",10,600,0,1,"no","yes",,,"yes",100,"Seema Pvt Ltd","Seema",10,100,600,100,,,"satin","plain"
"020C1","Dining_AS","simple","Home;; Home/Dining;; Home/Dining/Others;; Home/Dining/Others/Table Mats & Covers","yes",250,"A set of 4 pink cotton table mats. They are rectangle in shape and have a striped pattern on them.",,,"tablemat1.jpeg",,,,,,"Table Mat Set",,,250,"Maharashtra",,"A set of 4 pink cotton table mats with a striped pattern",,,,,,1,,,,,,0,60,100,1,,,,,,,,,,,,,,"yes",10,250,0,1,"no","yes",,,"yes",60,"Seema Pvt Ltd","Seema",10,100,250,100,,,"cotton","striped"
