"sku","attribute_set","type","categories","cod_available","cost","description","media_gallery","has_options","image","image_label","label","meta_description","meta_keyword","meta_title","name","news_from_date","news_to_date","price","region","required_options","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","url_key","url_path","visibility","weight","qty","is_in_stock","is_qty_decimal","use_config_min_sale_qty","min_sale_qty","use_config_max_sale_qty","max_sale_qty","re_skus","xre_skus","cs_skus","us_skus","simples_skus","configurable_attributes","super_attribute_pricing","ga_asso_occassions","ga_commission","ga_commission_rate","ga_discounted_price","ga_discount_percentage","ga_estimate_shipping","ga_fragile","ga_int_ship_allowed","ga_last_revision_date","ga_next_revision_date","ga_returnable","ga_shipping_weight","ga_vender","ga_vender_internal","ga_vendor_lead_time","ga_vendor_max_order_qty","ga_vendor_price","ga_volumetric_weight","color","video","hdp_material","hdp_pattern"
"021C1","Puja_AS","simple","Home Decor;; Home Decor/Puja;; Home Decor/Puja/Photoframes","Yes",700,"A golden photo frame of Indian Lord Ganesha. It has the Lord's idol in the centre. The frame's colour matches with that of the idol.",,,"pujaphotoframe1.jpeg",,,,,,"Lord Ganesha's Photo Frame",,,700,"Maharashtra",,"Self designed golden photo frame of Lord Ganesha",,,,,,1,7,,,,,1,300,100,1,,,,,,,,,,,,,,"Yes",10,700,,1,"Yes","Yes",,,"Yes",300,"Vishnu Pvt Ltd","Vishnu",,10,100,700,"Red",,"metal, plastic","self design"
"021C2","Puja_AS","simple","Home Decor;; Home Decor/Puja;; Home Decor/Puja/Photoframes","Yes",700,"A silver photo frame of Indian Lord Ganesha. It has the Lord's idol in the centre. The frame's colour matches with that of the idol.",,,"pujaphotoframe2.jpeg",,,,,,"Lord Ganesha's Photo Frame",,,700,"Maharashtra",,"Self designed silver photo frame of Lord Ganesha",,,,,,1,7,,,,,1,300,100,1,,,,,,,,,,,,,,"Yes",10,700,,1,"Yes","Yes",,,"Yes",300,"Vishnu Pvt Ltd","Vishnu",,10,100,700,"Red",,"metal, plastic","self design"
"021C","Puja_AS","configurable","Home Decor;; Home Decor/Puja;; Home Decor/Puja/Photoframes","Yes",700,"A photo frame of Indian Lord Ganesha. It has the Lord's idol in the centre. The frame's colour matches with that of the idol.",,1,"no selection",,,,,,"Lord Ganesha's Photo Frame",,,700,"Maharashtra",1,"Self designed photo frame of Lord Ganesha",,,,,,1,7,,,,,4,,,1,,,,,,,,,,"021C1,021C2","color",,,"Yes",10,700,,1,"Yes","Yes",,,"Yes",300,"Vishnu Pvt Ltd","Vishnu",,10,100,700,,,"metal, plastic","self design"
"022C1","Puja_AS","simple","Home Decor;; Home Decor/Puja;; Home Decor/Puja/Statues","Yes",6000,"Pure metallic golden statue of Lord Krishna and His wife Radha. The statue gives out a sparkling radiance.",,,"pujastatue1.jpeg",,,,,,"Statue of Radha-Krishna",,,6000,"Maharashtra",,"Self designed pure metallic golden statue of Radha-Krishna",,,,,,1,7,,,,,1,800,100,1,,,,,,,,,,,,,,"Yes",10,6000,,1,"Yes","Yes",,,"Yes",800,"Vishnu Pvt Ltd","Vishnu",,10,100,6000,"Red",,"metal","self design"
"022C2","Puja_AS","simple","Home Decor;; Home Decor/Puja;; Home Decor/Puja/Statues","Yes",6000,"Pure metallic copper statue of Lord Krishna and His wife Radha. The statue gives out a sparkling radiance.",,,"pujastatue2.jpeg",,,,,,"Statue of Radha-Krishna",,,6000,"Maharashtra",,"Self designed pure metallic copper statue of Radha-Krishna",,,,,,1,7,,,,,1,800,100,1,,,,,,,,,,,,,,"Yes",10,6000,,1,"Yes","Yes",,,"Yes",800,"Vishnu Pvt Ltd","Vishnu",,10,100,6000,"Red",,"metal","self design"
"022C","Puja_AS","configurable","Home Decor;; Home Decor/Puja;; Home Decor/Puja/Statues","Yes",6000,"Pure metallic statue of Lord Krishna and His wife Radha. The statue gives out a sparkling radiance.",,1,"no selection",,,,,,"Statue of Radha-Krishna",,,6000,"Maharashtra",1,"Self designed pure metallic statue of Radha-Krishna",,,,,,1,7,,,,,4,,,1,,,,,,,,,,"022C1,022C2","color",,,"Yes",10,6000,,1,"Yes","Yes",,,"Yes",800,"Vishnu Pvt Ltd","Vishnu",,10,100,6000,,,"metal","self design"
"023C1","Puja_AS","simple","Home Decor;; Home Decor/Puja;; Home Decor/Puja/Table Pieces","Yes",6000,"Pure metallic bronze table statue of Lord Ganesha. It makes for an elegant table piece.",,,"tablepiece1.jpeg",,,,,,"Table Piece",,,6000,"Maharashtra",,"Self designed pure metallic Lord Ganesha bronze table piece",,,,,,1,7,,,,,1,800,100,1,,,,,,,,,,,,,,"Yes",10,6000,,1,"Yes","Yes",,,"Yes",800,"Vishnu Pvt Ltd","Vishnu",,10,100,6000,"Red",,"metal","self design"
"023C2","Puja_AS","simple","Home Decor;; Home Decor/Puja;; Home Decor/Puja/Table Pieces","Yes",6000,"Pure metallic silver table statue of Lord Ganesha. It makes for an elegant table piece.",,,"tablepiece2.jpeg",,,,,,"Table Piece",,,6000,"Maharashtra",,"Self designed pure metallic Lord Ganesha silver table piece",,,,,,1,7,,,,,1,800,100,1,,,,,,,,,,,,,,"Yes",10,6000,,1,"Yes","Yes",,,"Yes",800,"Vishnu Pvt Ltd","Vishnu",,10,100,6000,"Red",,"metal","self design"
"023C","Puja_AS","configurable","Home Decor;; Home Decor/Puja;; Home Decor/Puja/Table Pieces","Yes",6000,"Pure metallic table statue of Lord Ganesha. It makes for an elegant table piece.",,1,"no selection",,,,,,"Table Piece",,,6000,"Maharashtra",1,"Self designed pure metallic Lord Ganesha table piece",,,,,,1,7,,,,,4,,,1,,,,,,,,,,"023C1,023C2","color",,,"Yes",10,6000,,1,"Yes","Yes",,,"Yes",800,"Vishnu Pvt Ltd","Vishnu",,10,100,6000,,,"metal","self design"
"024C1","Puja_AS","simple","Home Decor;; Home Decor/Puja;; Home Decor/Puja/Car Pieces","Yes",300,"A beautiful brown car piece of the Jain Lord Mahavira. It is carved out of stone and has a smooth finish.",,,"carpiece1.jpeg",,,,,,"Car Piece",,,300,"Maharashtra",,"Self designed brown car piece carved out of stone in the form of the Jain Lord Mahavira",,,,,,1,7,,,,,1,300,100,1,,,,,,,,,,,,,,"Yes",10,300,,1,"Yes","Yes",,,"Yes",300,"Vishnu Pvt Ltd","Vishnu",,10,100,300,"Blue",,"stone","self design"
"024C2","Puja_AS","simple","Home Decor;; Home Decor/Puja;; Home Decor/Puja/Car Pieces","Yes",300,"A beautiful black car piece of the Jain Lord Mahavira. It is carved out of stone and has a smooth finish.",,,"carpiece2.jpeg",,,,,,"Car Piece",,,300,"Maharashtra",,"Self designed black car piece carved out of stone in the form of the Jain Lord Mahavira",,,,,,1,7,,,,,1,300,100,1,,,,,,,,,,,,,,"Yes",10,300,,1,"Yes","Yes",,,"Yes",300,"Vishnu Pvt Ltd","Vishnu",,10,100,300,"Blue",,"stone","self design"
"024C","Puja_AS","configurable","Home Decor;; Home Decor/Puja;; Home Decor/Puja/Car Pieces","Yes",300,"A beautiful car piece of the Jain Lord Mahavira. It is carved out of stone and has a smooth finish.",,1,"no selection",,,,,,"Car Piece",,,300,"Maharashtra",1,"Self designed car piece carved out of stone in the form of the Jain Lord Mahavira",,,,,,1,7,,,,,4,,,1,,,,,,,,,,"024C1,024C2","color",,,"Yes",10,300,,1,"Yes","Yes",,,"Yes",300,"Vishnu Pvt Ltd","Vishnu",,10,100,300,,,"stone","self design"
"025C1","Puja_AS","simple","Home Decor;; Home Decor/Puja;; Home Decor/Puja/Agarbatti Stands","Yes",300,"A neatly polished grey agarbatti stand. It is made from ceramic and has a round shape. It is simple and light weight in nature.",,,"agarbattistand1.jpeg",,,,,,"Agarbatti Stand",,,300,"Maharashtra",,"A simple and light weight ceramic grey agarbatti stand",,,,,,1,7,,,,,1,200,100,1,,,,,,,,,,,,,,"Yes",10,300,,1,"Yes","Yes",,,"Yes",200,"Vishnu Pvt Ltd","Vishnu",,10,100,300,"Red",,"ceramic","plain"
"025C2","Puja_AS","simple","Home Decor;; Home Decor/Puja;; Home Decor/Puja/Agarbatti Stands","Yes",300,"A neatly polished green agarbatti stand. It is made from ceramic and has a round shape. It is simple and light weight in nature.",,,"agarbattistand3.jpeg",,,,,,"Agarbatti Stand",,,300,"Maharashtra",,"A simple and light weight ceramic green agarbatti stand",,,,,,1,7,,,,,1,200,100,1,,,,,,,,,,,,,,"Yes",10,300,,1,"Yes","Yes",,,"Yes",200,"Vishnu Pvt Ltd","Vishnu",,10,100,300,"Red",,"ceramic","plain"
