"sku","attribute_set","type","categories","cod_available","cost","description","media_gallery","has_options","image","image_label","label","meta_description","meta_keyword","meta_title","name","news_from_date","news_to_date","price","region","required_options","short_description","small_image","small_image_label","special_from_date","special_price","special_to_date","status","tax_class_id","thumbnail","thumbnail_label","url_key","url_path","visibility","weight","qty","is_in_stock","is_qty_decimal","use_config_min_sale_qty","min_sale_qty","use_config_max_sale_qty","max_sale_qty","re_skus","xre_skus","cs_skus","us_skus","simples_skus","configurable_attributes","super_attribute_pricing","ga_asso_occassions","ga_commission","ga_commission_rate","ga_discounted_price","ga_discount_percentage","ga_estimate_shipping","ga_fragile","ga_int_ship_allowed","ga_last_revision_date","ga_next_revision_date","ga_returnable","ga_shipping_weight","ga_vender","ga_vender_internal","ga_vendor_lead_time","ga_vendor_max_order_qty","ga_vendor_price","ga_volumetric_weight","color","video","fa_brand","fa_flavour","fa_grade","fa_ingredients","fa_large_sizes_kgs","fa_large_sizes_ltrs","fa_mid_sizes_gms","fa_mid_sizes_ml","fa_shelf_life","fa_small_sizes_gms","fa_small_sizes_ml","fa_traditional_name"
"FD_IN_MC_001S","Food","simple","Food;; Food/Ingredients;; Food/Ingredients/Main Course","Yes",,"Sagri is a well known Rajasthani dish. It serves as a stomach-filling main course. It is made from dried beans and dried berries.",,,"i17.jpeg",,,,,,"Sanjeev Kapoor's Sangri",,,450,"Rajasthan",,"Sagri is a well known Rajasthani dish. It serves as a stomach-filling main course. It is made from dried beans and dried berries.",,,,,,1,8,,,,,4,100,400,1,,,,,,,,,,,,,,"No",,,,1,"No","Yes","06/11/14 12:00 AM","06/27/15 12:00 AM","Yes","5.5kgs","Bikanerwala","Sanjeev Kapoor",2,300,300,,,,"Bikanerwala","Spicy",,"Dried Beans",5,,,,"2 years",,,"Sangri and Ker"
"FD_IN_MC_002S","Food","simple","Food;; Food/Ingredients;; Food/Ingredients/Main Course","Yes",,"Kuttu Ka Aatta is a type of readymade flour used for the preparation of of puris, etc. It is made from buckwheat. It is popular in Northern and Western India.",,,"i19.jpeg",,,,,,"Bhavna's Kuttu Ka Aatta",,,450,"Simply Indian",,"Kuttu Ka Aatta is a type of readymade flour used for the preparation of of puris, etc. It is made from buckwheat. It is popular in Northern and Western India.",,,,,,1,8,,,,,4,100,400,1,,,,,,,,,,,,,,"No",,,,1,"No","Yes","06/11/14 12:00 AM","06/27/15 12:00 AM","No","5.5kgs","Bhavna","Bhavna",2,300,300,,,,"Bhavna","Wheatish",,"BuckWheat Flour",5,,,,"6 months",,,"Kuttu ka Atta"
"FD_IN_SP_001S","Food","simple","Food;; Food/Ingredients;; Food/Ingredients/Spices","Yes",,"One of the few things truly worth its weight in gold, this product of the corcus flower adds not only a pungent aromatic flavour to foods but also a vibrant colour.",,,"i5.jpeg",,,,,,"100% Pure Kashmiri Saffron",,,500,"Kashmir",,"One of the few things truly worth its weight in gold, this product of the corcus flower adds not only a pungent aromatic flavour to foods but also a vibrant colour.",,,,,,1,8,,,,,4,100,400,1,,,,,,,,,,,,,,"No",,,,1,"No","Yes","06/11/14 12:00 AM","06/27/15 12:00 AM","No","100 gms","Hilal Ahmed Khan","Hilal Ahmed Khan",2,300,200,,,,"Dilkash","Saffron","5 mm",,,,,,"1 year",2,,"Kesar"
"FD_IN_SP_002S","Food","simple","Food;; Food/Ingredients;; Food/Ingredients/Spices","Yes",,"Aromatic flower buds which are brownish-black in colour. They are popularly used in Indian dishes like rice preparations. They add aroma and a lovely taste to the food. They cannot be eaten raw since they are very bitter to taste.",,,"i7.jpeg",,,,,,"Cloves",,,500,"Kerala",,"Aromatic flower buds which are brownish-black in colour. They are popularly used in Indian dishes like rice preparations. They add aroma and a lovely taste to the food. They cannot be eaten raw since they are very bitter to taste.",,,,,,1,8,,,,,4,100,400,1,,,,,,,,,,,,,,"No",,,,1,"No","Yes","06/11/14 12:00 AM","06/27/15 12:00 AM","No","200 gms","Hilal Ahmed Khan","Hilal Ahmed Khan",2,300,200,,,,"Dilkash","Clove","Superior Quality",,,,100,,"1 year",,,"Laving"
"FD_IN_SN_001S","Food","simple","Food;; Food/Ingredients;; Food/Ingredients/Snacks","No",,"A popuplar Indian snack, Chorafali is available in packets which can be fried and eaten. It is popular with Gujaratis especially during festivals like Diwali. It is coated with a spicy powder which makes it tasty to eat.",,,"i13.jpeg",,,,,,"Chorafali",,,550,"Gujarat",,"A popuplar Indian snack, Chorafali is available in packets which can be fried and eaten. It is popular with Gujaratis especially during festivals like Diwali. It is coated with a spicy powder which makes it tasty to eat.",,,,,,1,8,,,,,4,100,400,1,,,,,,,,,,,,,,"No",,,,,"No","Yes",,,,"2.5kgs","Bhavna","Bhavna",2,300,200,,,,"Bhavna","Spicy",,"Chorafali flourSaltSpices",2,,,,"6 months",,,"Chorafali"
"FD_IN_SN_002S","Food","simple","Food;; Food/Ingredients;; Food/Ingredients/Snacks","Yes",,"Another popular Indian snack which is very easy to prepare. It is known differently in South India states but it's the same product. Simply fry it and enjoy it with your meals. It is a North Indian snack.",,,"i15.jpeg",,,,,,"Papad",,,500,"Punjab, Andhra Pradesh",,"Another popular Indian snack which is very easy to prepare. It is known differently in South India states but it's the same product. Simply fry it and enjoy it with your meals. It is a North Indian snack.",,,,,,1,8,,,,,4,100,400,1,,,,,,,,,,,,,,"No",,,,,"No","Yes",,,,"2.5kgs","Iyer","Iyer",21,300,200,,,,"Iyers","Crisp+Salty",,"Urad Dal / BlackgramBlack pepperSalt",2,,,,"6 months",,,"Papad"
"FD_IN_LQ_001S","Food","simple","Food;; Food/Ingredients;; Food/Ingredients/Liquids","No",,"Mustard oil or Sarson ka tel as it is popularly called, is very famous in north India. It is used in cooking preparations. It has a pungent smell. It is yellow in colour.",,,"i21.jpeg",,,,,,"Mustard Oil",,,700,"Punjab",,"Mustard oil or Sarson ka tel as it is popularly called, is very famous in north India. It is used in cooking preparations. It has a pungent smell. It is yellow in colour.",,,,,,1,8,,,,,4,100,400,1,,,,,,,,,,,,,,"Yes",10,,,,"Yes","Yes",,,"No","5kgs","Dry Fruit Corner","Dry Fruit Corner",5,100,350,,,,"Dhara","Mustard",,"Extracted from mustard seeds",,4,,,"1 year",,,"Sarson Ka Tel"
"FD_IN_LQ_003S","Food","simple","Food;; Food/Ingredients;; Food/Ingredients/Liquids","Yes",,"Castor oil is popularly used for cooking. It is extracted from the castor plant. It is a vegetable oil.",,,"i23.jpeg",,,,,,"Castor Oil",,,680,"Simply Indian",,"Castor oil is popularly used for cooking. It is extracted from the castor plant. It is a vegetable oil.",,,,,,1,8,,,,,4,100,400,1,,,,,,,,,,,,,,"Yes",10,,,,"Yes","Yes",,,"No","5kgs","Dry Fruit Corner","Dry Fruit Corner",5,100,350,,,,"Dabur","Castor",,"Extracted from the castor plant",,4,,,"1 year",,,"Castor Oil"
"FD_RE_SW_001S","Food","simple","Food;; Food/Ready to eat;; Food/Ready to eat/Sweets","No",,"MTR Gulab Jamun Mix gives you the chance to make delicious gulab jamuns effortlessly at home. These are ready -to-eat packet sweets. Simply follow the instructions given on the backside. The dish is prepared instantly and tastes delicious.",,,"i25.jpeg",,,,,,"MTR Gulab Jamun Mix",,,3000,"Simply Indian",,"MTR Gulab Jamun Mix gives you the chance to make delicious gulab jamuns effortlessly at home. These are ready -to-eat packet sweets. Simply follow the instructions given on the backside. The dish is prepared instantly and tastes delicious.",,,,,,1,8,,,,,4,100,400,1,,,,,,,,,,,,,,"No",,,,,"Yes","Yes",,,"No","3.5kgs","MTR","MTR",5,100,1500,,,,"MTR","Sweet",,"Wheat creamSkimmed milk powderVegetable oilSodium bicarbonateMalic acid",3,,,,"2 days",,,"Gulab Jamun"
"FD_RE_SW_002S","Food","simple","Food;; Food/Ready to eat;; Food/Ready to eat/Sweets","Yes",,"Test Descr",,,"i27.jpeg",,,,,,"Nestle Milkmaid Creations Besan Laddoo Mix",,,3000,"Simply Indian",,"Test Descr",,,,,,1,8,,,,,4,100,400,1,,,,,,,,,,,,,,"No",,,,,"Yes","Yes",,,"No","3.5kgs","Nestle Milkmaid","Nestle Milkmaid",5,100,1500,,,,"Nestle Milkmaid","Sweet",,,3,,,,"6 months",,,"Besan Laddoo"
"FD_RE_PI_001S","Food","simple","Food;; Food/Ready to eat;; Food/Ready to eat/Pickles","No",,"Mother's Recipe Pickles are well known. This mango pickle is a typical Indian delicacy made from methi, saunf, sarson and kalonji. It contains cut mangoes. Relish your taste buds with its spice. It can be consumed by itself and also with your daily meals.",,,"i1.jpeg",,,,,,"Mango Pickle",,,1000,"Simply Indian",,"Mother's Recipe Pickles are well known. This mango pickle is a typical Indian delicacy made from methi, saunf, sarson and kalonji. It contains cut mangoes. Relish your taste buds with its spice. It can be consumed by itself and also with your daily meals.",,,,,,1,8,,,,,4,100,400,1,,,,,,,,,,,,,,"No",,,,,,"Yes",,,"No","1.25 kgs","Mother's Recipe Mango Pickle","Mother's Recipe Mango Pickle",20,100,500,,,,"Mother's Recipe Mango Pickle","Tangy, Spicy",,"*Fenugreek seeds / methi*Fennel seeds / saunf*Mustard seeds / sarson*Nigella seeds / kalonji",1,,,,"6 months",,,"Aam ka achaar"
"FD_RE_PI_002S","Food","simple","Food;; Food/Ready to eat;; Food/Ready to eat/Pickles","Yes",,"Mother's Recipe pickles are well known. This garlic pickle is a loved delicacy in Andhra Pradesh. Garlic is an excellent source of dietary manganese. It contains peeled garlic pods mixed with jaggery, mustard seeds and salt. It can be consumed by itself and also with your daily meals.",,,"i9.jpeg",,,,,,"Garlic Pickle",,,1000,"Simply Indian",,"Mother's Recipe pickles are well known. This garlic pickle is a loved delicacy in Andhra Pradesh. Garlic is an excellent source of dietary manganese. It contains peeled garlic pods mixed with jaggery, mustard seeds and salt. It can be consumed by itself and also with your daily meals.",,,,,,1,8,,,,,4,100,400,1,,,,,,,,,,,,,,"No",,,,,,"Yes",,,"No","1.25 kgs","Mother's Recipe Garlic Pickle","Mother's Recipe Garlic Pickle",20,100,500,,,,"Mother's Recipe Garlic Pickle","Pungent, Spicy",,"*Garlic*Jaggery*Peeled garlic pods*Mustard seeds*Salt",1,,,,"6 months",,,"Lasuun Ka AAchar"
"FD_RE_SN_FR_001S","Food","simple","Food;; Food/Ready to eat;; Food/Ready to eat/Snacks/Fried","No",,"Haldiram's chain of snacks are known worldwide. These Tasty Peanuts are fried peanuts coated with chatpata masala which provide for a delicious snack item. Since it a type of dry snack it can be easily carried around and it is easy to eat as well.",,,"i11.jpeg",,,,,,"Tasty Peanuts",,,2000,"Rajasthan",,"Haldiram's chain of snacks are known worldwide. These Tasty Peanuts are fried peanuts coated with chatpata masala which provide for a delicious snack item. Since it a type of dry snack it can be easily carried around and it is easy to eat as well.",,,,,,1,8,,,,,4,100,400,1,,,,,,,,,,,,,,"No",,,,,,"Yes",,,"No","5.5 kgs","Haldiram's Tasty Peanuts","Haldiram's Tasty Peanuts",5,100,1000,,,,"Haldiram's Tasty Peanuts","Spicy and Crisp",,"PeanutsGram flourGarlic & onion powderSpices",5,,,,"6 months",,,"Singh Bhujia"
"FD_RE_SN_FR_002S","Food","simple","Food;; Food/Ready to eat;; Food/Ready to eat/Snacks/Fried","Yes",,"Haldiram's chain of snacks are known worlwide. Aloo Bhujia is a popular North Indian snack. It is delicious to eat. It can be consumed by itself. It can also be sprinkled on bhel, chaats, etc.",,,"i3.jpeg",,,,,,"Aloo Bhujia Sev",,,2000,"Rajasthan",,"Haldiram's chain of snacks are known worlwide. Aloo Bhujia is a popular North Indian snack. It is delicious to eat. It can be consumed by itself. It can also be sprinkled on bhel, chaats, etc.",,,,,,1,8,,,,,4,100,400,1,,,,,,,,,,,,,,"No",,,,,,"Yes",,,"No","5.5 kgs","Haldiram's Aloo Bhujia Sev","Haldiram's Aloo Bhujia Sev",5,100,1000,,,,"Haldiram's Aloo Bhujia Sev","Spicy and Crisp",,"PotatoesGram flourCinnamonClovesGarlic & onion powder",5,,,,"6 months",,,"Aloo Bhujia"
